[1/20] loss:0.2091,acc_train:0.9383,val_loss:0.2192,acc_val:0.9351
[2/20] loss:0.1697,acc_train:0.9487,val_loss:0.1913,acc_val:0.9420
[3/20] loss:0.1455,acc_train:0.9559,val_loss:0.1722,acc_val:0.9488
[4/20] loss:0.1308,acc_train:0.9600,val_loss:0.1727,acc_val:0.9488
[5/20] loss:0.1287,acc_train:0.9606,val_loss:0.1716,acc_val:0.9494
[6/20] loss:0.1182,acc_train:0.9636,val_loss:0.1675,acc_val:0.9520
[7/20] loss:0.1406,acc_train:0.9565,val_loss:0.1931,acc_val:0.9475
[8/20] loss:0.1026,acc_train:0.9686,val_loss:0.1646,acc_val:0.9546
[9/20] loss:0.1035,acc_train:0.9677,val_loss:0.1616,acc_val:0.9548
[10/20] loss:0.1113,acc_train:0.9649,val_loss:0.1766,acc_val:0.9536
[11/20] loss:0.0879,acc_train:0.9728,val_loss:0.1581,acc_val:0.9572
[12/20] loss:0.0887,acc_train:0.9727,val_loss:0.1603,acc_val:0.9567
[13/20] loss:0.0983,acc_train:0.9695,val_loss:0.1690,acc_val:0.9560
[14/20] loss:0.1005,acc_train:0.9679,val_loss:0.1793,acc_val:0.9550
[15/20] loss:0.1068,acc_train:0.9661,val_loss:0.1973,acc_val:0.9507
[16/20] loss:0.0799,acc_train:0.9758,val_loss:0.1619,acc_val:0.9594
[17/20] loss:0.0964,acc_train:0.9703,val_loss:0.1834,acc_val:0.9524
[18/20] loss:0.0761,acc_train:0.9759,val_loss:0.1698,acc_val:0.9574
[19/20] loss:0.0707,acc_train:0.9777,val_loss:0.1692,acc_val:0.9592
[20/20] loss:0.0771,acc_train:0.9756,val_loss:0.1765,acc_val:0.9549
